@relation 'forecast_data_06-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R1-2,9'

@attribute 'Chance Precipitation (\%)' numeric
@attribute Precipitation numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Gust' numeric
@attribute Visibility numeric
@attribute 'Cloud Cover' numeric
@attribute Conditions {Clear,Overcast,'Partially cloudy','Rain, Overcast','Rain, Partially cloudy'}

@data
61.9,0,8.5,12.7,24.1,39.3,'Rain, Partially cloudy'
61.9,0,8.6,11.5,24.1,40,'Rain, Partially cloudy'
61.9,0.3,8.4,10.4,24.1,42,'Rain, Partially cloudy'
61.9,0.6,8.2,9.4,24.1,44,'Rain, Partially cloudy'
61.9,0.9,7.9,8.3,24.1,46,'Rain, Partially cloudy'
81,4.23,9.1,11.4,17.4,64,'Rain, Partially cloudy'
81,7.57,10.3,14.5,10.6,82,'Rain, Overcast'
81,10.9,11.5,17.6,3.9,100,'Rain, Overcast'
81,9.93,10.1,17.3,5.6,100,'Rain, Overcast'
81,8.97,8.6,16.9,7.4,100,'Rain, Overcast'
81,8,7.2,16.6,9.1,100,'Rain, Overcast'
57,5.63,6.5,14.2,13.8,100,'Rain, Overcast'
57,3.27,5.8,11.8,18.6,100,'Rain, Overcast'
57,0.9,5,9.4,23.3,100,'Rain, Overcast'
57,0.6,5.2,9.2,23.6,100,'Rain, Overcast'
57,0.3,5.3,9.1,23.8,100,'Rain, Overcast'
57,0,5.4,9,24.1,100,'Rain, Overcast'
4.8,0,3.7,6.6,24.1,99,Overcast
4.8,0,2,4.2,24.1,98,Overcast
4.8,0,0.4,1.8,24.1,97,Overcast
4.8,0,2.5,4.9,24.1,95,Overcast
4.8,0,4.7,8,24.1,93,Overcast
4.8,0,6.8,11.2,24.1,91,Overcast
33.2,0,7.7,11.8,24.1,80,Overcast
33.2,0,8.5,12.4,24.1,69,'Partially cloudy'
33.2,0,9.4,13,24.1,58,'Partially cloudy'
33.2,0.27,8.4,11.2,24.1,64.3,'Partially cloudy'
33.2,0.53,7.4,9.4,24.1,70.7,'Partially cloudy'
33.2,0.8,6.5,7.6,24.1,77,Overcast
61.9,0.87,5,5.9,24.1,84.7,'Rain, Overcast'
61.9,0.93,3.6,4.2,24.1,92.3,'Rain, Overcast'
61.9,1,2.2,2.5,24.1,100,'Rain, Overcast'
61.9,1.33,5.4,9.6,22.5,96.3,'Rain, Overcast'
61.9,1.67,8.6,16.7,20.9,92.7,'Rain, Overcast'
61.9,2,11.9,23.8,19.3,89,'Rain, Overcast'
57,2.4,10.3,20,15.7,89.7,'Rain, Overcast'
57,2.8,8.8,16.3,12.1,90.3,'Rain, Overcast'
57,3.2,7.2,12.6,8.5,91,'Rain, Overcast'
57,2.17,6.5,10.8,13.7,80.7,'Rain, Overcast'
57,1.13,5.8,9,18.9,70.3,'Rain, Partially cloudy'
57,0.1,5,7.2,24.1,60,'Rain, Partially cloudy'
19,0.07,4.2,6.2,24.1,73.3,'Partially cloudy'
19,0.03,3.4,5.3,24.1,86.7,Overcast
19,0,2.5,4.3,24.1,100,Overcast
19,0,3.4,5.8,24.1,95.3,Overcast
19,0,4.2,7.2,24.1,90.7,Overcast
19,0,5,8.6,24.1,86,Overcast
42.9,0.27,5.3,8.2,24.1,72,'Partially cloudy'
42.9,0.53,5.5,7.7,24.1,58,'Partially cloudy'
42.9,0.8,5.8,7.2,24.1,44,'Partially cloudy'
42.9,1.5,4.8,6.5,24.1,51,'Partially cloudy'
42.9,2.2,3.8,5.8,24.1,58,'Partially cloudy'
42.9,2.9,2.9,5,24.1,65,'Partially cloudy'
57,2.47,6.1,8.4,23.8,76.7,'Rain, Overcast'
57,2.03,9.4,11.8,23.5,88.3,'Rain, Overcast'
57,1.6,12.6,15.1,23.2,100,'Rain, Overcast'
57,1.07,11.5,16.2,23.5,87.3,'Rain, Overcast'
57,0.53,10.4,17.3,23.8,74.7,'Rain, Partially cloudy'
57,0,9.4,18.4,24.1,62,'Rain, Partially cloudy'
23.7,0,8.3,16.1,24.1,58,'Partially cloudy'
23.7,0,7.2,13.8,24.1,54,'Partially cloudy'
23.7,0,6.1,11.5,24.1,50,'Partially cloudy'
23.7,0.03,6,10.9,24.1,57.3,'Partially cloudy'
23.7,0.07,5.9,10.3,24.1,64.7,'Partially cloudy'
23.7,0.1,5.8,9.7,24.1,72,'Partially cloudy'
14.3,0.07,7.2,13.6,24.1,80.7,Overcast
14.3,0.03,8.6,17.4,24.1,89.3,Overcast
14.3,0,10.1,21.2,24.1,98,Overcast
14.3,0,10,21.6,24.1,97,Overcast
14.3,0,9.8,22,24.1,96,Overcast
14.3,0,9.7,22.3,24.1,95,Overcast
19,0,10.4,20.5,24.1,91.3,Overcast
19,0,11.2,18.7,24.1,87.7,Overcast
19,0,11.9,16.9,24.1,84,Overcast
19,0,10.4,14,24.1,84,Overcast
19,0,9,11.2,24.1,84,Overcast
19,0,7.6,8.3,24.1,84,Overcast
76.1,0.87,10.3,14.8,24,83.7,'Rain, Overcast'
76.1,1.73,13.1,21.2,23.8,83.3,'Rain, Overcast'
76.1,2.6,15.8,27.7,23.7,83,'Rain, Overcast'
76.1,2.6,15.1,30.2,23.8,85.7,'Rain, Overcast'
76.1,2.6,14.4,32.8,24,88.3,'Rain, Overcast'
76.1,2.6,13.7,35.3,24.1,91,'Rain, Overcast'
33.2,1.77,12,30.4,24.1,92.3,Overcast
33.2,0.93,10.3,25.4,24.1,93.7,Overcast
33.2,0.1,8.6,20.5,24.1,95,Overcast
33.2,0.07,7.4,16.6,24.1,93.3,Overcast
33.2,0.03,6.2,12.6,24.1,91.7,Overcast
33.2,0,5,8.6,24.1,90,Overcast
14.3,0.03,4.2,7.4,24,72,'Partially cloudy'
